country,ccode,bloc,organization,womensrightsissue,womensrights01,recstate,recstatebloc,recstateorg,response,action_upr,session,year,equalityinsociety,vaw,econ,vawecon,health,femaleminorities,originalrecnumber,newrecnumber,recommendation,precision,action,repeatrec,instancerec,nomention,compliance,inaction,consideration,delegation,execution,missingmaterial,recnumberfinal_UPR,id,institution
Albania,339,EEG,"EU, OIF",Women's rights,1,Canada,WEOG,"OAS, OIF, Commonwealth",Accepted,5,19,2014,1,,1,1,,,8,7,"Take steps to ensure equality between men and women, in particular, take measures to guarantee that women enjoy equal pay for work of equal value as provided by the Labour Code, such as enhancing labour inspection measures and addressing the issue of ineffective implementation of the law",3,2,,,0,0,1,0,0,0,,25,UPR0024,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Canada,WEOG,"OAS, OIF, Commonwealth",Accepted,5,19,2014,1,,1,1,,,8a,8,"Take steps to ensure equality between men and women, in particular, take measures to guarantee that women enjoy equal pay for work of equal value as provided by the Labour Code, such as enhancing labour inspection measures and  increasing awareness",2,4,,,0,0,1,0,0,0,,26,UPR0025,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Canada,WEOG,"OAS, OIF, Commonwealth",Accepted,5,19,2014,1,,1,1,,,8b,9,"Take steps to ensure equality between men and women, in particular, take measures to guarantee that women enjoy equal pay for work of equal value as provided by the Labour Code, such as enhancing labour inspection measures and improving access to justice for affected women",2,3,,,0,0,1,0,0,0,,27,UPR0026,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Italy,WEOG,EU,Accepted,5,19,2014,1,,1,1,,,9,10,"Adopt and implement further measures in order to address the gender wage gap, improve women's access to entrepreneurship and ensure a balanced representation of women in the labour market",2,6,,,0,0,0,0,0,1,,28,UPR0027,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,"Korea, Republic of",Aisa,,Accepted,4,19,2014,1,,1,1,,,10,11,"Put forward its best efforts to ensure women's empowerment, representation and advancement, especially in the public sector",1,8,,,999,1,999,999,999,999,,29,UPR0028,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Algeria,Africa,"AU, OIC, AL",Accepted,2,19,2014,1,1,,1,,,11,12,Continue efforts towards combating violence against women and children,1,8,,,999,1,999,999,999,999,,30,UPR0029,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Slovakia,EEG,EU,Accepted,2,19,2014,1,1,,1,,,12,13,Continue endeavours aimed at combating domestic violence and ensure that all reports of domestic violence are thoroughly investigated and perpetrators are brought to justice in accordance with the law,3,3,,,0,0,0,0,1,1,,31,UPR0030,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Turkey,WEOG,OIC,Accepted,2,19,2014,1,1,,1,,,13,14,"Continue adopting and implementing robust measures to better address domestic violence, and develop programmes to assist the victims of domestic violence and programmes to assist the victims of domestic violence",3,6,,,0,1,0,0,1,0,,32,UPR0031,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Italy,WEOG,EU,Accepted,5,19,2014,1,1,,1,,,14,15,"Fully implement the normative framework and related policies aimed at preventing violence against women, in particular by addressing the factors which may still prevent women from filing complaints regarding episodes of violence",3,3,,,0,1,0,0,0,0,,33,UPR0032,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, human rights education and training",1,Australia,WEOG,"PIF, Commonwealth",Accepted,4,19,2014,1,1,,1,,,15,16,Enhance support services for victims of domestic and gender-based violence,3,6,,,0,1,0,0,1,0,,34,UPR0033,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, human rights education and training",1,Australia,WEOG,"PIF, Commonwealth",Accepted,4,19,2014,1,1,,1,,,15a,17,"take measures to raise awareness among law enforcement officials, lawyers and judges of the serious nature of domestic and gender-based violence",2,6,,,0,333,1,0,333,0,,35,UPR0034,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Denmark,WEOG,EU,Accepted,4,19,2014,1,1,,1,,,16,18,"Provide the necessary support, including adequate shelter, to all victims of domestic violence",3,6,,,0,0,0,0,0,1,,36,UPR0035,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Ireland,WEOG,EU,Accepted,5,19,2014,1,1,,1,,,17,19,"Establish appropriate shelters and social services for victims of domestic violence, as well as a system of victim compensation and reintegration",3,6,,,0,0,1,0,333,333,,37,UPR0036,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Lithuania,EEG,EU,Accepted,5,19,2014,1,1,,1,,,18,20,"Provide the necessary assistance to the victims of domestic violence, including through the adoption of rehabilitation and reintegration programmes",3,6,,,0,0,1,0,0,0,,38,UPR0037,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Hungary,EEG,EU,Accepted,3,19,2014,1,1,,1,,,19,21,"Undertake a deep analysis of protection orders for victims of domestic violence that were broken, in order to identify the root causes and take appropriate measures to secure the safety of the victims",3,2,,,0,0,1,0,0,0,,39,UPR0038,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,United States,WEOG,OAS,Accepted,5,19,2014,1,1,,1,,,20,22,Fully implement the National Strategy on Gender Equality and Against Gender-Based and Domestic Violence,3,7,,,0,0,0,0,0,1,,40,UPR0039,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,United States,WEOG,OAS,Accepted,5,19,2014,1,1,,1,,,20a,23,"build up the capacity of the police force to deal with such cases, including through additional training programs to help police identify and assist survivors of domestic violence",3,6,,,1,0,0,0,0,0,,41,UPR0040,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Lithuania,EEG,EU,Accepted,4,19,2014,1,1,,1,,,22,24,Ensure that all reports of domestic violence are thoroughly investigated and that the perpetrators are brought to justice,3,3,,1,0,0,0,0,0,1,,42,UPR0041,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Slovenia,EEG,EU,Accepted,4,19,2014,1,1,,1,,,23,25,Ensure that cases of domestic violence are properly investigated and prosecuted,3,3,24,2,0,0,0,0,1,1,,43,UPR0042,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,United Kingdom,WEOG,"EU, Commonwealth",Accepted,4,19,2014,1,1,,1,,,24,26,"Ensure that reports of domestic violence are investigated swiftly and fully, and that prosecutions are carried out with the full force of the law",3,3,"24, 25",3,0,0,0,0,1,1,,44,UPR0043,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, human rights education and training",1,Belgium,WEOG,"EU, OIF",Accepted,4,19,2014,1,1,,1,,,25,27,"Ensure that all complaints of domestic violence are seriously investigated, with the protection of victims and the prosecution of the perpetrators",3,3,,,0,0,0,0,1,1,,45,UPR0044,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, human rights education and training",1,Belgium,WEOG,"EU, OIF",Accepted,4,19,2014,1,1,,1,,,25a,28,"Ensure the protection of victims and the prosecution of the perpetrators, in accordance with existing legislation, in particular through raising the awareness of police forces on such issues",3,6,,,0,1,0,0,0,0,,46,UPR0045,UPR
Albania,339,EEG,"EU, OIF","Women's rights, trafficking, rights of the child",1,Philippines,Asia,ASEAN,Accepted,4,19,2014,1,1,,1,,,26a,29,"Ensure effective implementation of the measures or strategies established to counter and prevent trafficking in persons, including by intensifying efforts to prosecute perpetrators and providing adequate protection to trafficking victims, especially women and children",3,3,,,0,1,0,0,1,0,,47,UPR0046,UPR
Albania,339,EEG,"EU, OIF","Women's rights, trafficking, rights of the child",1,Thailand,Asia,ASEAN,Accepted,3,19,2014,1,1,,1,1,,27,30,"Consider improving assistance, including medical and social services, and shelter for trafficking victims, particularly women and children",1,6,,,999,1,999,999,999,999,,48,UPR0047,UPR
Albania,339,EEG,"EU, OIF","Women's rights, trafficking, rights of the child, international instruments, disabilities",1,Vietnam,Asia,"ASEAN, OIF",Accepted,4,19,2014,1,1,,1,,1,30,31,"Further improve national institutions and human rights infrastructure, including the harmonization of domestic legislation and the legal system with the international and European Union instruments on persons with disabilities, the rights of the child, the prevention of domestic violence and trafficking in persons",3,5,,,0,1,0,0,0,0,,49,UPR0048,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Venezuela,GRULAC,"OAS, OEI, ACS",Accepted,4,19,2014,1,1,,1,,,32,32,Further increase concrete measures in the framework of the 2011- 2015 Strategy and Action Plan for the promotion and protection of gender equality and women's rights,1,8,,,1,0,0,0,0,0,,50,UPR0049,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Austria,WEOG,EU,Accepted,5,19,2014,1,1,,1,,,33,33,Fully implement without further delay the provisions of the national action plan on gender equality and domestic violence,3,7,,,1,0,0,0,0,0,,51,UPR0050,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,China,Asia,,Accepted,2,19,2014,1,1,,1,,,34,34,"Continue to implement effectively the National Strategy for Gender Equality, Reduction of Gender-Based Violence and Domestic Violence",3,7,,,1,0,0,0,0,0,,52,UPR0051,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Macedonia,EEG,OIF,Accepted,4,19,2014,1,1,,1,,,35,35,"Increase efforts to tackle domestic violence, gender stereotypes and discrimination on that ground",2,4,,,0,1,0,0,1,0,,53,UPR0052,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Russia,EEG,CIS,Accpeted,4,19,2014,1,1,,1,,,36,36,Create a national strategy related to combating domestic violence against women and children,2,8,,,0,1,0,0,0,0,,54,UPR0053,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Nicaragua,GRULAC,"OAS, OEI, ACS",Accepted,4,19,2014,1,1,,1,,,37,37,Promote a comprehensive policy of sensitization to the fight against domestic violence,2,4,,,0,0,1,0,0,0,,55,UPR0054,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Poland,EEG,EU,Accepted,4,19,2014,1,1,,1,,,38,38,Provide necessary legal protection and practical assistance for victims of violence against women,2,3,,,0,1,0,0,1,0,,56,UPR0055,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, human rights education and training",1,Czech Republic,EEG,EU,Accepted,4,19,2014,1,1,,1,,,39,39,Ensure adequate training of police in order to increase their capability to deal with domestic violence cases,3,6,,,0,0,0,0,0,1,,57,UPR0056,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, human rights education and training",1,Czech Republic,EEG,EU,Accepted,4,19,2014,1,1,,1,,,39a,40,take further steps to raise public awareness of domestic violence as a criminal offence,2,4,,,0,1,0,0,0,0,,58,UPR0057,UPR
Albania,339,EEG,"EU, OIF","Women's rights, trafficking, rights of the child",1,Slovenia,EEG,EU,Accepted,4,19,2014,1,1,,1,,1,40,41,"Take further measures to effectively combat trafficking in human beings, especially with regard to vulnerable groups such as women and children",1,8,,,999,1,999,999,999,999,,59,UPR0058,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Rwanda,Africa,"AU, OIF, Commonwealth",Accepted,5,19,2014,1,,1,1,,,41,42,Increase the number of women in political and public life in both national and local government bodies and address gender stereotypes that perpetrate discrimination against women,1,4,,,999,1,999,999,999,999,,60,UPR0059,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Sweden,WEOG,EU,Accepted,4,19,2014,1,,1,1,,,42,43,"That the Parliament, the Government and all political parties take concrete steps to create a more enabling environment for Albanian women to advance in political and public positions",1,8,,,999,333,1,999,999,999,,61,UPR0060,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, right to education",1,Portugal,WEOG,"EU, OEI",Accepted,4,19,2014,1,,1,1,,,43,44,"Take measures to effectively address the high dropout rates from school, especially of girls in primary education",2,8,,,0,1,0,0,1,0,,62,UPR0061,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Spain,WEOG,"EU, OEI",Accepted,2,19,2014,1,,1,1,,,45,45,"Continue strengthening measures which favour full gender equality, paying special attention to the integration of women into the labour market without discrimination, in line with the measures established in the 2013 European Union Progress Report",1,7,,,999,1,999,999,999,999,,63,UPR0062,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Canada,WEOG,"OAS, OIF, Commonwealth",Accepted,4,19,2014,1,1,,1,,,47,46,"Continue with efforts to combat violence against women and take additional measures to reduce violence by addressing the reasons for the withdrawal of many protection order petitions in cases of domestic violence, and ensuring that all reports of domestic violence are thoroughly investigated and that the perpetrators are brought to justice in accordance with the law",3,3,,,0,0,1,0,0,0,,64,UPR0063,UPR
Albania,339,EEG,"EU, OIF","Women's rights, trafficking, rights of the child",1,Mexico,GRULAC,"OAS, OEI, ACS",Accepted,4,19,2014,1,1,,1,,,48,47,"Strengthen the legislation to fight trafficking in persons, especially women and children, ensuring the due punishment of the perpetrators of such crimes and the provision of legal and psychological assistance to victims",3,5,,,0,333,1,0,333,0,,65,UPR0064,UPR
Andorra,232,WEOG,OIF,Women's rights,1,Spain,WEOG,"EU, OEI",Accepted,2,9,2010,1,1,,1,,,84,74,Continue to develop legislation and policies to ensure effective gender equality and to combat gender violence,1,5,,,999,1,999,999,999,999,,66,UPR0065,UPR
Andorra,232,WEOG,OIF,"Women's rights, labour",1,Mexico,GRULAC,"OAS, OEI, ACS",Accepted,5,9,2010,1,,1,1,,,87,75,"Consistent with article 87 of the Labour Code, proceed with the creation of a distinctive equality mark that encourages enterprises to promote a policy of equal pay for men and women",3,6,,,0,1,0,0,0,0,,67,UPR0066,UPR
Andorra,232,WEOG,OIF,"Women's rights, human rights education and training, civil society",1,Argentina,GRULAC,"OAS, OEI",Accepted,4,9,2010,1,1,,1,,,90,76,"Strengthen educational measures, with a view to eradicating traditional stereotypes that perpetuate discrimination and violence against women",2,4,,,0,1,0,1,1,0,,68,UPR0067,UPR
Andorra,232,WEOG,OIF,"Women's rights, human rights education and training, civil society",1,Argentina,GRULAC,"OAS, OEI",Accepted,4,9,2010,1,1,,1,,,90a,77,"intensify cooperation with civil society organizations and the media, with a view to eradicating traditional stereotypes that perpetuate discrimination and violence against women",3,4,,,0,333,1,0,333,0,,69,UPR0068,UPR
Andorra,232,WEOG,OIF,Women's rights,1,Argentina,GRULAC,"OAS, OEI",Accepted,5,9,2010,1,,1,1,,,91,78,Adapt labour legislation and improve existing practices with a view to ensuring equal pay for women and overcoming any pay inequalities,3,5,,,0,1,0,0,1,0,,70,UPR0069,UPR
Andorra,232,WEOG,OIF,"Women's rights, rights of the child",1,Netherlands,WEOG,EU,Noted,5,9,2010,1,1,,1,,,94,79,"Amend legislation in order to decriminalize abortion under certain circumstances, such as pregnancies that are the result of rape",3,5,,,1,0,0,0,0,0,,71,UPR0070,UPR
Andorra,232,WEOG,OIF,"Women's rights, rights of the child",1,Monaco,WEOG,OIF,Accepted,4,22,2015,1,1,,1,,,69,66,Redouble its efforts in the field of violence against women and domestic violence through the different measures provided in the legislation aiming at the eradication of violence against women and domestic violence,1,8,,,.,.,.,.,.,.,,72,UPR0071,UPR
Andorra,232,WEOG,OIF,"Women's rights, rights of the child",1,Australia,WEOG,"PIF, Commonwealth",Accepted,2,22,2015,1,1,,1,,,70,67,Continue its efforts to prevent gender-based and domestic violence and to protect and support victims,1,6,,,.,.,.,.,.,.,,73,UPR0072,UPR
Andorra,232,WEOG,OIF,Women's rights,1,Netherlands,WEOG,EU,Noted,5,22,2015,1,1,,1,,,71,68,"Amend legislation in order to decriminalize abortion under certain circumstances, such as pregnancies that are the result of rape, as previously recommended",3,5,,1,.,.,.,.,.,.,,74,UPR0073,UPR
Andorra,232,WEOG,OIF,Women's rights,1,France,WEOG,"EU, OIF",Noted,5,22,2015,1,1,,1,,,72,69,"Amend legislation in order to decriminalize abortion under certain circumstances, such as pregnancies that are the result of rape",3,5,68,2,.,.,.,.,.,.,,75,UPR0074,UPR
Andorra,232,WEOG,OIF,Women's rights,1,Italy,WEOG,EU,Noted,3,22,2015,1,,1,1,,,75,70,Consider adopting new legislation to counter all forms of discrimination against women and reserve a quota of non-executive board seats for women,1,5,,,.,.,.,.,.,.,,76,UPR0075,UPR
Andorra,232,WEOG,OIF,Women's rights,1,Philippines,Asia,ASEAN,Accepted,2,22,2015,1,,1,1,,,77,71,"Pursue measures, in law and in practice, that address the wage gap in the private sector and unequal access to managerial posts, with women in a disadvantaged situation",1,5,,,.,.,.,.,.,.,,77,UPR0076,UPR
Andorra,232,WEOG,OIF,Women's rights,1,Spain,WEOG,"EU, OEI",Accepted,2,22,2015,1,,1,1,,,78,72,"Continue to develop legislation and policies to promote gender equality, placing particular focus on the participation of women in politics",2,5,,,.,.,.,.,.,.,,78,UPR0077,UPR
Andorra,232,WEOG,OIF,Women's rights,1,Thailand,Asia,ASEAN,Accepted,4,22,2015,1,1,,1,,,79,73,Ensure effective law enforcement and prevention and protection measures to bridge the gap between legislation and practice in combating violence against women,2,3,,,.,.,.,.,.,.,,79,UPR0078,UPR
Armenia,371,EEG,"CIS, OIF",Women's rights rights of the child,1,Algeria,Africa,"AU, OIC, AL",Accepted,2,8,2010,1,,1,1,,,149,125,"Pursue the policy aimed at improving the position and participation of women in public life, and promote programmes for the protection of the rights of children",2,6,,,0,1,0,0,1,0,,80,UPR0079,UPR
Armenia,371,EEG,"CIS, OIF",Women's rights,1,Azerbaijan,EEG,"OIC, CIS",Accepted,4,8,2010,1,1,,1,,,153,126,"Take measures to eliminate discrimination against women, especially domestic violence",1,8,,,999,1,999,999,999,999,,81,UPR0080,UPR
Armenia,371,EEG,"CIS, OIF",Women's rights,1,Brazil,GRULAC,"OAS, OEI",Accepted,3,8,2010,1,1,,1,,,155,127,"Consider devoting priority attention to the elimination of all forms of violence against women, in particular domestic violence, by establishing comprehensive measures, including specific legislation",1,5,,,999,1,999,999,999,999,,82,UPR0081,UPR
Armenia,371,EEG,"CIS, OIF","Women's rights, rights of the child",1,Czech Republic,EEG,EU,Accepted,5,8,2010,1,1,,1,,,157,128,"Strengthen measures to ensure an effective fight against domestic violence - in particular, introduce the crime of domestic violence into its criminal code as a matter of priority",3,5,,,0,0,0,1,0,0,,83,UPR0082,UPR
Armenia,371,EEG,"CIS, OIF","Women's rights, rights of the child",1,Czech Republic,EEG,EU,Accepted,5,8,2010,1,1,,1,,,157a,129,"Strengthen measures to ensure an effective fight against domestic violence - in particular, ensure that effective support and protection is available for victims of domestic violence",3,6,,,0,1,0,1,1,0,,84,UPR0083,UPR
Armenia,371,EEG,"CIS, OIF","Women's rights, rights of the child",1,Indonesia,Asia,"ASEAN, OIC",Accepted,5,8,2010,1,1,,1,,,162,130,"Adopt legislation and measures to prevent violence against women and children, including through the strengthening of its monitoring mechanism",2,5,,,1,0,0,0,0,0,,85,UPR0084,UPR
Armenia,371,EEG,"CIS, OIF",Women's rights,1,Iran,Asia,OIC,Accepted,4,8,2010,1,1,,1,,,163,131,Follow up the implementation of national machinery for the advancement of women and addressing violence against women,2,7,,,0,1,0,0,1,0,,86,UPR0085,UPR
Armenia,371,EEG,"CIS, OIF",Women's rights,1,Kyrgyzstan,Asia,"OIC, CIS",Accepted,2,8,2010,1,1,,1,,,166,132,Continue efforts aimed at combating domestic violence,1,8,,,999,1,999,999,999,999,,87,UPR0086,UPR
Armenia,371,EEG,"CIS, OIF",Women's rights,1,Norway,WEOG,,Accepted,3,8,2010,1,,1,1,,,168,133,"Consider further measures to improve and encourage women's participation in society, and ensure that such measures include benchmarks with timetables or increased quotas and that their implementation is closely monitored",1,6,,,999,999,999,1,999,999,,88,UPR0087,UPR
Armenia,371,EEG,"CIS, OIF",Women's rights,1,Switzerland,WEOG,OIF,Accepted,5,8,2010,1,1,,1,,,171,134,"Ensure that the authorities and police services put in place appropriate measures to eradicate domestic violence, beginning with the adoption and implementation of the draft law on domestic violence to which the Armenian delegation referred",3,5,,,0,0,0,0,0,1,,89,UPR0088,UPR
Armenia,371,EEG,"CIS, OIF",Women's rights,1,Ukraine,EEG,CIS,Accepted,4,8,2010,1,1,,1,,,172,135,Take additional measures to eliminate the phenomenon of domestic violence against women,1,8,,,999,1,999,999,999,999,,90,UPR0089,UPR
Armenia,371,EEG,"CIS, OIF","Women's rights, rights of the child",1,United Kingdom,WEOG,"EU, Commonwealth",Accepted,4,8,2010,1,1,,1,,,173,136,"Take immediate steps to make domestic violence - including psychological abuse - beatings - rape, including marital rape - and sexual assault -- a criminal offence",2,5,,,0,1,0,0,0,0,,91,UPR0090,UPR
